,id,created_at_existing,updated_at_existing,updated_at_total_existing,updated_at_unit_existing,updated_at_seconds_existing,let_agreed_existing,created_at_new,updated_at_new,updated_at_total_new,updated_at_unit_new,updated_at_seconds_new,let_agreed_new,new_listing,let_agreed_ts,created_at,updated_at,updated_at_total,updated_at_unit
65,1354312,2022-04-19 22:54:48.064443+00:00,2022-04-12 23:54:48.065440,1,weeks,1649804088,True,,,1,weeks,1649804088,,False,,2022-04-19 22:54:48.064443+00:00,2022-04-12 23:54:48.065440,1,weeks
66,1356227,2022-04-19 22:54:48.062448+00:00,2022-04-12 23:54:48.063445,1,weeks,1649804088,True,,,1,weeks,1649804088,,False,,2022-04-19 22:54:48.062448+00:00,2022-04-12 23:54:48.063445,1,weeks
67,1360561,2022-04-19 22:54:48.061451+00:00,2022-04-12 23:54:48.062448,1,weeks,1649804088,True,,,1,weeks,1649804088,,False,,2022-04-19 22:54:48.061451+00:00,2022-04-12 23:54:48.062448,1,weeks
68,1328946,2022-04-19 22:54:48.048485+00:00,2022-04-12 23:54:48.048485,1,weeks,1649804088,True,2022-04-20 07:17:34.822927+00:00,2022-04-13 08:17:34.822927,1,weeks,1649834254,True,False,True,2022-04-19 22:54:48.048485+00:00,2022-04-13 08:17:34.822927,1,weeks
69,1343597,2022-04-19 22:54:48.047488+00:00,2022-04-12 23:54:48.047488,1,weeks,1649804088,True,,,1,weeks,1649804088,,False,,2022-04-19 22:54:48.047488+00:00,2022-04-12 23:54:48.047488,1,weeks
70,1365078,2022-04-19 22:54:48.043534+00:00,2022-04-12 23:54:48.044533,1,weeks,1649804088,True,,,1,weeks,1649804088,,False,,2022-04-19 22:54:48.043534+00:00,2022-04-12 23:54:48.044533,1,weeks
71,1345814,2022-04-19 22:54:48.041542+00:00,2022-04-12 23:54:48.041542,1,weeks,1649804088,True,,,1,weeks,1649804088,,False,,2022-04-19 22:54:48.041542+00:00,2022-04-12 23:54:48.041542,1,weeks
72,1348255,2022-04-19 22:54:48.037517+00:00,2022-04-12 23:54:48.037517,1,weeks,1649804088,True,,,1,weeks,1649804088,,False,,2022-04-19 22:54:48.037517+00:00,2022-04-12 23:54:48.037517,1,weeks
73,1362929,2022-04-19 22:54:48.036519+00:00,2022-04-12 23:54:48.036519,1,weeks,1649804088,True,,,1,weeks,1649804088,,False,,2022-04-19 22:54:48.036519+00:00,2022-04-12 23:54:48.036519,1,weeks
74,1318368,2022-04-19 22:54:48.035522+00:00,2022-04-12 23:54:48.035522,1,weeks,1649804088,True,,,1,weeks,1649804088,,False,,2022-04-19 22:54:48.035522+00:00,2022-04-12 23:54:48.035522,1,weeks
